City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Luderitz,NA,2021-03-04 19:08:51,-26.6481,15.1594,73.08,54,0,18.34
68,Kabare,CD,2021-03-04 19:08:52,-2.4683,28.8242,62.55,84,100,0.94
69,Busselton,AU,2021-03-04 19:08:52,-33.65,115.3333,66.99,98,100,8.59
70,Lorengau,PG,2021-03-04 19:08:53,-2.0226,147.2712,81.45,81,100,7.92
71,Tuktoyaktuk,CA,2021-03-04 19:08:53,69.4541,-133.0374,-23.8,76,20,9.22
72,Ponta Delgada,PT,2021-03-04 19:08:53,37.7333,-25.6667,59.0,72,20,19.57
73,Port Blair,IN,2021-03-04 19:08:54,11.6667,92.75,80.98,83,13,6.53
74,Tiksi,RU,2021-03-04 19:08:54,71.6872,128.8694,-21.98,87,99,5.64
75,Carnarvon,AU,2021-03-04 19:08:54,-24.8667,113.6333,73.4,88,40,8.05
76,Havoysund,NO,2021-03-04 19:08:55,70.9963,24.6622,26.6,86,90,16.11
77,Port Macquarie,AU,2021-03-04 19:08:55,-31.4333,152.9167,60.01,98,6,3.0
78,Bredasdorp,ZA,2021-03-04 19:08:55,-34.5322,20.0403,62.6,82,78,2.3
79,Vicosa,BR,2021-03-04 19:08:56,-20.7539,-42.8819,76.8,80,99,8.37
80,Moorhead,US,2021-03-04 19:08:56,46.8739,-96.7676,46.4,61,1,14.97
81,Tura,IN,2021-03-04 19:08:57,25.5198,90.2201,65.19,27,0,2.28
82,Lompoc,US,2021-03-04 19:07:37,34.6391,-120.4579,60.8,55,20,9.22
83,Necochea,AR,2021-03-04 19:08:57,-38.5473,-58.7368,73.99,81,57,8.01
84,San Rafael,AR,2021-03-04 19:08:57,-34.6177,-68.3301,92.91,21,31,8.75
85,Mataura,NZ,2021-03-04 19:08:58,-46.1927,168.8643,55.0,79,100,4.41
86,Tasiilaq,GL,2021-03-04 19:08:58,65.6145,-37.6368,33.8,86,90,2.3
87,Saint-Francois,FR,2021-03-04 19:08:59,46.4154,3.9054,46.99,81,28,2.3
88,Naze,JP,2021-03-04 19:08:59,28.3667,129.4833,63.1,90,47,15.08
89,Taoudenni,ML,2021-03-04 19:09:00,22.6783,-3.9836,75.27,18,0,10.58
90,Esperance,AU,2021-03-04 19:09:00,-33.8667,121.9,66.2,88,91,11.5
91,The Valley,AI,2021-03-04 19:09:01,18.217,-63.0578,84.2,69,20,11.5
92,East London,ZA,2021-03-04 19:05:07,-33.0153,27.9116,69.8,94,75,6.91
93,Laguna,US,2021-03-04 19:09:01,38.421,-121.4238,60.01,62,1,8.05
94,Cordoba,AR,2021-03-04 19:06:27,-31.4135,-64.1811,84.0,54,40,8.05
95,Livingston,GB,2021-03-04 19:09:02,55.9029,-3.5226,39.2,65,90,11.5
96,Westport,US,2021-03-04 19:09:02,41.1415,-73.3579,42.01,43,67,1.01
97,Venado Tuerto,AR,2021-03-04 19:09:02,-33.7456,-61.9688,91.0,32,19,8.01
98,Srednekolymsk,RU,2021-03-04 19:09:03,67.45,153.6833,-11.0,89,100,19.35
99,Erzin,TR,2021-03-04 19:05:01,36.9559,36.2,57.99,67,0,4.18
100,Sri Aman,MY,2021-03-04 19:09:03,1.2376,111.4621,75.2,94,30,1.12
101,Stanovoye,RU,2021-03-04 19:09:04,52.7638,38.3582,31.89,99,100,11.01
102,Baturaja,ID,2021-03-04 19:09:04,-4.1333,104.1667,73.69,95,98,1.57
103,Dikson,RU,2021-03-04 19:09:04,73.5069,80.5464,-29.13,83,3,12.48
104,Port Alfred,ZA,2021-03-04 19:09:05,-33.5906,26.891,70.0,90,23,1.99
105,Shyryayeve,UA,2021-03-04 19:09:05,47.3805,30.1964,45.79,64,31,5.57
106,Avarua,CK,2021-03-04 19:09:05,-21.2078,-159.775,82.4,83,75,10.36
107,Iqaluit,CA,2021-03-04 19:09:05,63.7506,-68.5145,23.0,46,90,11.5
108,Auki,SB,2021-03-04 19:09:06,-8.7676,160.7034,78.13,87,100,5.19
109,Inhambane,MZ,2021-03-04 19:09:06,-23.865,35.3833,78.8,83,20,6.06
110,Geraldton,AU,2021-03-04 19:09:07,-28.7667,114.6,68.0,88,1,6.91
111,Bartica,GY,2021-03-04 19:09:08,6.4,-58.6167,84.2,70,75,11.5
112,Hithadhoo,MV,2021-03-04 19:09:08,-0.6,73.0833,82.89,71,96,8.63
113,Yenagoa,NG,2021-03-04 19:09:09,4.9247,6.2642,80.8,80,71,7.94
114,Kaoma,ZM,2021-03-04 19:09:09,-14.7833,24.8,65.82,91,97,4.18
115,Marienburg,PL,2021-03-04 19:09:10,54.0359,19.0266,33.01,100,85,6.62
116,Talnakh,RU,2021-03-04 19:07:20,69.4865,88.3972,-6.38,89,100,8.88
117,Saskylakh,RU,2021-03-04 19:09:11,71.9167,114.0833,-32.64,81,93,6.35
118,Klaksvik,FO,2021-03-04 19:09:11,62.2266,-6.589,33.8,75,75,6.91
119,Touros,BR,2021-03-04 19:09:11,-5.1989,-35.4608,84.2,70,40,14.97
120,Saint-Denis,FR,2021-03-04 19:09:12,48.9167,2.3333,46.99,87,90,9.22
121,Seddon,AU,2021-03-04 19:09:12,-37.8068,144.8916,60.01,72,90,11.5
122,Hammerfest,NO,2021-03-04 19:09:12,70.6634,23.6821,23.0,86,75,8.05
123,Norman Wells,CA,2021-03-04 19:09:13,65.282,-126.8329,-22.0,69,75,2.3
124,Iquitos,PE,2021-03-04 19:06:43,-3.7481,-73.2472,87.8,58,40,8.05
125,Margate,GB,2021-03-04 19:09:13,51.3813,1.3862,42.01,76,100,5.01
126,Mehamn,NO,2021-03-04 19:09:14,71.0357,27.8492,26.6,59,40,23.02
127,Pitimbu,BR,2021-03-04 19:09:14,-7.4706,-34.8086,82.4,83,75,18.41
128,Teontepec,MX,2021-03-04 19:09:14,18.5,-97.5167,76.44,19,100,9.57
129,Kodiak,US,2021-03-04 19:09:14,57.79,-152.4072,30.2,59,1,11.5
130,Hernani,ES,2021-03-04 19:09:15,43.2662,-1.9762,57.2,72,20,2.3
131,Bethel,US,2021-03-04 19:09:15,41.3712,-73.414,39.0,47,59,5.99
132,Cape Town,ZA,2021-03-04 19:09:06,-33.9258,18.4232,68.0,56,20,14.97
133,Ajdabiya,LY,2021-03-04 19:09:16,30.7554,20.2263,57.61,58,0,7.56
134,Marawi,PH,2021-03-04 19:09:16,7.9986,124.2928,73.0,92,3,5.99
135,Vredendal,ZA,2021-03-04 19:09:16,-31.6683,18.5012,66.52,65,0,15.19
136,Port Elizabeth,ZA,2021-03-04 19:09:16,-33.918,25.5701,68.0,88,0,9.22
137,Aksu,CN,2021-03-04 19:09:17,41.1231,80.2644,41.76,61,46,4.74
138,Port Hardy,CA,2021-03-04 19:09:17,50.6996,-127.4199,48.2,71,90,23.02
139,Chuy,UY,2021-03-04 19:09:16,-33.6971,-53.4616,75.63,81,100,10.76
140,Oistins,BB,2021-03-04 19:09:18,13.0667,-59.5333,82.4,61,40,18.41
141,Ipixuna,BR,2021-03-04 19:09:18,-1.7625,-48.8043,77.0,88,40,4.61
142,Ponta Do Sol,PT,2021-03-04 19:09:19,32.6667,-17.1,61.0,71,98,4.0
143,Lichuan,CN,2021-03-04 19:09:19,30.3,108.85,43.5,85,100,1.59
144,Fairbanks,US,2021-03-04 19:06:51,64.8378,-147.7164,-2.0,84,90,2.51
145,Leningradskiy,RU,2021-03-04 19:09:19,69.3833,178.4167,0.86,91,100,33.22
146,Lakatoro,VU,2021-03-04 19:09:20,-16.0999,167.4164,77.56,90,100,13.67
147,Uruzgan,AF,2021-03-04 19:09:20,32.8333,66.0,50.5,45,0,1.79
148,Erenhot,CN,2021-03-04 19:09:20,43.6475,111.9767,18.21,73,44,17.25
149,Igarka,RU,2021-03-04 19:09:20,67.4667,86.5833,-3.37,91,100,15.61
150,Vestmannaeyjar,IS,2021-03-04 19:09:21,63.4427,-20.2734,41.0,81,75,6.91
151,Boguchany,RU,2021-03-04 19:08:34,58.3814,97.4531,8.46,93,100,7.07
152,Salvador,SV,2021-03-04 19:09:22,13.8333,-88.9167,89.6,43,0,9.22
153,Meulaboh,ID,2021-03-04 19:09:22,4.1363,96.1285,78.33,86,75,3.44
154,Hobyo,SO,2021-03-04 19:06:56,5.3505,48.5268,78.24,77,100,17.63
155,Alibag,IN,2021-03-04 19:09:22,18.6411,72.8792,82.4,57,0,3.44
156,Coquimbo,CL,2021-03-04 19:09:23,-29.9533,-71.3436,64.4,82,75,11.5
157,Langxiang,CN,2021-03-04 19:05:15,46.95,128.8833,17.82,96,100,5.99
158,Bowen,AU,2021-03-04 19:09:24,-20.0167,148.2333,75.2,83,90,10.36
159,Sorong,ID,2021-03-04 19:09:24,-0.8833,131.25,80.44,79,100,5.26
160,Marsh Harbour,BS,2021-03-04 19:05:19,26.5412,-77.0636,72.37,70,23,7.16
161,Scalea,IT,2021-03-04 19:09:25,39.813,15.7956,46.99,66,0,1.01
162,Pyapon,MM,2021-03-04 19:09:26,16.2833,95.6833,72.3,57,0,7.85
163,Belmonte,BR,2021-03-04 19:09:26,-15.8631,-38.8828,84.2,74,0,4.61
164,Sawakin,SD,2021-03-04 19:06:50,19.1059,37.3321,72.28,70,28,17.16
165,Udachnyy,RU,2021-03-04 19:09:27,66.4167,112.4,-32.03,68,33,4.56
166,Bauchi,NG,2021-03-04 19:09:27,10.5,10.0,81.73,15,0,6.85
167,Qasigiannguit,GL,2021-03-04 19:09:27,68.8193,-51.1922,26.6,68,40,9.22
168,Ozinki,RU,2021-03-04 19:09:27,51.1786,49.6769,29.62,77,88,20.13
169,Plumlov,CZ,2021-03-04 19:09:28,49.4661,17.015,43.0,99,0,5.99
170,Thompson,CA,2021-03-04 19:09:28,55.7435,-97.8558,21.2,68,20,3.44
171,Bonavista,CA,2021-03-04 19:09:28,48.6499,-53.1147,35.01,80,100,10.36
172,Torbay,CA,2021-03-04 19:09:29,47.6666,-52.7314,34.0,64,75,28.77
173,Saint-Joseph,RE,2021-03-04 19:09:29,-21.3667,55.6167,78.8,78,90,4.61
174,New Norfolk,AU,2021-03-04 19:09:29,-42.7826,147.0587,52.0,60,77,1.01
175,Henties Bay,NA,2021-03-04 19:09:30,-22.116,14.2845,71.92,62,0,11.72
176,Sainte-Luce,MQ,2021-03-04 19:09:31,14.4673,-60.9271,84.2,61,40,16.11
177,Khatanga,RU,2021-03-04 19:09:31,71.9667,102.5,-27.47,78,0,11.74
178,Mkokotoni,TZ,2021-03-04 19:09:31,-5.8767,39.2547,82.4,69,20,14.97
179,Bambous Virieux,MU,2021-03-04 19:09:17,-20.3428,57.7575,77.0,83,20,6.91
180,Sitka,US,2021-03-04 19:09:32,57.0531,-135.33,37.4,87,40,3.44
181,Krutaya Gorka,RU,2021-03-04 19:09:32,55.3649,73.2231,30.2,86,75,15.66
182,Itarema,BR,2021-03-04 19:09:33,-2.9248,-39.9167,84.36,65,87,15.39
183,Mnogovershinnyy,RU,2021-03-04 19:09:34,53.9353,139.9242,-9.62,92,100,4.38
184,Acarau,BR,2021-03-04 19:09:34,-2.8856,-40.12,82.09,71,96,14.05
185,Zapadnaya Dvina,RU,2021-03-04 19:09:34,56.259,32.0745,26.06,96,75,6.15
186,Rockingham,US,2021-03-04 19:09:35,42.9668,-71.0995,36.0,51,0,3.0
187,Taltal,CL,2021-03-04 19:09:35,-25.4,-70.4833,72.46,63,23,7.61
188,Anshun,CN,2021-03-04 19:09:35,26.25,105.9333,53.53,94,96,7.49
189,At-Bashi,KG,2021-03-04 19:09:35,41.1702,75.8106,25.3,84,100,2.17
190,Souillac,MU,2021-03-04 19:09:36,-20.5167,57.5167,77.0,83,20,6.91
191,Barrow,US,2021-03-04 19:09:36,71.2906,-156.7887,-25.6,68,1,10.36
192,Narsipatnam,IN,2021-03-04 19:09:36,17.6667,82.6167,75.2,83,0,2.3
193,Belyy Yar,RU,2021-03-04 19:09:36,53.6039,91.3903,17.6,73,99,6.71
194,Tucurui,BR,2021-03-04 19:09:36,-3.7661,-49.6725,84.31,77,99,2.89
195,Port Hawkesbury,CA,2021-03-04 19:06:25,45.6169,-61.3485,41.0,38,1,26.46
196,Narsaq,GL,2021-03-04 19:09:37,60.9167,-46.05,50.0,32,75,39.12
197,Kedrovyy,RU,2021-03-04 19:09:37,56.1667,91.8167,23.0,58,0,8.95
198,Manokwari,ID,2021-03-04 19:09:37,-0.8667,134.0833,79.0,73,97,6.89
199,Victor Harbor,AU,2021-03-04 19:09:38,-35.5667,138.6167,64.0,76,100,9.66
200,Yarada,IN,2021-03-04 19:09:38,17.65,83.2667,75.2,83,0,2.3
201,Ucluelet,CA,2021-03-04 19:07:21,48.9329,-125.5528,45.0,87,90,16.11
202,Santiago Del Estero,AR,2021-03-04 19:09:38,-27.7951,-64.2615,93.7,29,0,10.78
203,Dvinskoy,RU,2021-03-04 19:09:39,62.1535,45.1175,-0.31,95,79,2.75
204,Pisco,PE,2021-03-04 19:04:42,-13.7,-76.2167,80.01,78,40,12.66
205,Jawhar,SO,2021-03-04 19:09:39,2.7809,45.5005,76.14,80,52,16.4
206,Killybegs,IE,2021-03-04 19:09:40,54.6333,-8.45,44.6,75,90,11.63
207,Victoria,HK,2021-03-04 19:06:57,22.2855,114.1577,68.0,89,99,1.99
208,Ler,SS,2021-03-04 19:09:41,8.3018,30.1418,84.43,15,38,5.82
209,Kafanchan,NG,2021-03-04 19:09:41,9.5833,8.3,79.93,17,0,5.21
210,San Nicolas,PH,2021-03-04 19:09:41,18.1725,120.5953,75.2,88,20,2.3
211,Yulara,AU,2021-03-04 19:09:41,-25.2406,130.9889,82.4,24,10,10.36
212,Hervey Bay,AU,2021-03-04 19:05:40,-25.2986,152.8535,66.99,88,0,6.91
213,Nguru,NG,2021-03-04 19:08:10,12.8791,10.4526,81.21,14,0,10.58
214,Kavieng,PG,2021-03-04 19:09:20,-2.5744,150.7967,82.49,77,99,10.2
